运行编号,任务序号,方块类别,托盘行,托盘列,高位检测像素X,高位检测像素Y,实测TCP位置X,实测TCP位置Y,实测TCP位置Z,affine_预测TCP_X,affine_预测TCP_Y,affine_预测TCP_Z,affine_OOF三维误差,homography_预测TCP_X,homography_预测TCP_Y,homography_预测TCP_Z,homography_OOF三维误差,poly2_预测TCP_X,poly2_预测TCP_Y,poly2_预测TCP_Z,poly2_OOF三维误差,poly3_预测TCP_X,poly3_预测TCP_Y,poly3_预测TCP_Z,poly3_OOF三维误差
20260719_145127_668001,12,L_blue,5.0,9.0,842.4749755859375,399.62884521484375,-232.3566284179687,116.6856536865234,192.3148040771484,-232.34227143455263,116.88871692138123,191.0350982496788,1.2957962051122807,-232.4664283208322,116.8067788538932,191.03379528034452,1.2913988006530535,-232.63422947967538,116.78462198189166,190.60870466412658,1.73136717078216,-232.637204106597,116.68513715923679,191.0488411066076,1.2966823923498807
20260719_145127_668001,13,line,4.5,10.0,884.9165649414062,420.0105590820313,-222.5431976318359,136.8722839355468,189.2439575195312,-222.35025734375512,137.15937934602633,191.17147545777902,1.9583092533484805,-222.5314884071861,136.97406716064802,191.169299394458,1.9280659392771182,-222.7512820740079,136.85451724601535,190.66699381334723,1.4382792092805279,-222.851140832021,136.41180213989824,191.32159582059728,2.1502217115266804
20260719_145127_668001,14,square,5.5,7.5,778.8758544921875,379.48638916015625,-242.4962158203125,86.87061309814453,190.6090393066406,-242.3699350631499,86.43625775350773,190.8663770747941,0.5204172575562126,-242.42049726164808,86.50821689909604,190.86753846879648,0.4515375090137085,-242.45833207739253,86.51870031965879,190.67297775577197,0.35967472376649606,-242.34262110755276,86.72471434486965,190.8440640250855,0.31640859703081875
20260719_145127_668001,15,z_green,7.0,1.5,527.2200317382812,320.48016357421875,-271.9333190917968,-34.2231216430664,189.2391662597656,-271.95142114714986,-33.77118066797882,190.07115148910498,0.9469835010231277,-271.9453013837989,-33.856772379715146,190.07141010247213,0.9093872507367606,-272.12620156904285,-33.76077829924783,189.71134734809036,0.6884184757641633,-272.1983135096756,-33.45220273143377,189.66200538226812,0.9183305142150322
20260719_145127_668001,16,z_blue,7.0,3.5,610.23583984375,319.20733642578125,-272.372314453125,5.99630546569824,190.0777435302734,-272.09960321272587,5.912375482001902,190.31167272466158,0.3689695526603764,-272.10531493369666,5.9571752011923635,190.31248203086142,0.35766196978931125,-272.21011524826304,6.070920655087757,190.25178253992306,0.2493302737842245,-272.34699076907316,6.049649380354417,190.21371674167264,0.14824161501758948
20260719_145127_668001,17,T,7.0,6.5,735.71875,317.2556457519531,-272.3896484375,66.48056030273438,189.8012237548828,-272.3292460157389,65.95018546063145,190.74872211196828,1.0875196836701262,-272.3701634893701,66.03647534886719,190.7493831867397,1.0471854743425395,-272.473567572025,66.12204693019952,190.73829176456871,1.0068121543775874,-272.4705836385696,66.2464399826856,191.08689542186974,1.3093183212362334
20260719_145127_668001,18,line,7.5,5.0,672.5753784179688,297.3886413574219,-282.4130859375,35.846378326416,190.017379760742,-282.2342732875278,35.76814867053351,190.47513915366235,0.4976318967433612,-282.25241699812125,35.857861564640075,190.47566076683617,0.48576522455595766,-282.3298492826426,36.00190654287843,190.19702537223034,0.251773534262155,-282.3561657386037,36.02528536439691,190.1650097891698,0.23883522054984538
20260719_145127_668001,19,L_blue,7.0,9.0,840.8792114257812,315.6290283203125,-272.832275390625,116.0561447143554,191.6246337890625,-272.51549669235015,116.22483418939062,190.9095856660192,0.8000616857068551,-272.51755206310867,116.14338072174188,190.90932280607535,0.7863400639988575,-272.6560081390967,116.17214376556068,190.56824171280732,1.0772604803930195,-272.5749146775324,116.13226069609807,190.61758187973362,1.0422004257354418
20260719_145127_668001,20,L_blue,9.0,3.0,588.3612670898438,236.26495361328125,-312.1860961914062,-4.629951953887939,191.32080078125,-311.9273497550342,-4.4459095867768825,190.0992743233755,1.2621205166363672,-312.0848963607433,-4.403096910458196,190.0996332270895,1.246176075757375,-312.1286855140136,-4.335258746030186,189.85077042275967,1.5003763952819924,-312.1939226163597,-4.467551339388258,189.28675532584342,2.040533294797614
20260719_145127_668001,21,T,8.5,7.0,756.0214233398438,254.27566528320312,-302.5707092285156,76.19513702392578,189.9673614501953,-302.34714266918536,75.73281846218636,190.69271569505557,0.88874025424551,-302.3315473516834,75.82745252832771,190.69287334089617,0.8477958452253983,-302.42566815554346,75.91180360115362,190.5006094557195,0.6210218810188903,-302.3193029734882,75.75762094286824,190.4040458953894,0.6673220593726242
