运行编号,任务序号,方块类别,高位检测像素X,高位检测像素Y,实测TCP位置X,实测TCP位置Y,实测TCP位置Z,affine_预测TCP_X,affine_预测TCP_Y,affine_预测TCP_Z,affine_OOF三维误差,homography_预测TCP_X,homography_预测TCP_Y,homography_预测TCP_Z,homography_OOF三维误差,poly2_预测TCP_X,poly2_预测TCP_Y,poly2_预测TCP_Z,poly2_OOF三维误差,poly3_预测TCP_X,poly3_预测TCP_Y,poly3_预测TCP_Z,poly3_OOF三维误差
20260719_145127_668001,11,square,127.0,346.0,-261.8802490234375,-227.0294647216797,196.6232299804687,-261.6485955030659,-225.37124856382528,196.79392344752958,1.682997456732263,-261.5906166461444,-226.65221839861414,196.7789124669795,0.5004385465260728,-261.08613916176773,-226.7857557637182,196.23578875658177,0.9165780002590297,-261.11752253472923,-227.05564365538797,195.8160572068113,1.1108397362721145
20260719_145127_668001,12,L_blue,1190.0,264.0,-294.9754028320312,280.3582153320312,202.5410919189453,-295.4420981550832,280.04630796693397,201.87581322977337,0.8704518730101412,-294.9717755673642,279.09200000678265,201.8699996633884,1.4330663705536086,-294.9872261209168,278.7075929344996,201.2526974663018,2.093956626818141,-295.2815023451111,278.973219482804,200.9887099341273,2.102807704254461
20260719_145127_668001,13,line,1022.0,415.0,-224.0006256103515,200.6336517333984,200.5441741943359,-224.5230075305355,199.83935035155557,201.14750862617652,1.1259706889510888,-224.77267699600645,200.3176700652951,201.15382936646037,1.0332411071803078,-224.70705811754482,200.4981225444441,201.28869109670967,1.0352393279808596,-224.73350475753958,199.8307497075874,201.32377334683585,1.337736276705235
20260719_145127_668001,14,square,1098.0,380.0,-240.261276245117,234.807418823242,200.5149688720703,-240.50978185256196,236.02941690804312,201.50050448352104,1.5894385164663596,-240.99035634147907,236.2012215479704,201.50358355771758,1.8578489763834682,-240.9212982584285,236.37830895913402,201.42883797877494,1.9335153532588654,-240.90423701016636,235.9536011274694,201.28038849559223,1.5208548977431606
20260719_145127_668001,15,z_green,153.0,573.0,-151.2161865234375,-215.7836608886718,197.014419555664,-153.7822776628769,-213.63428829903575,197.1224941807113,3.349075452952248,-152.6526777615016,-214.35050316889632,197.11298713378943,2.031542196028533,-153.05819331789255,-214.65917682143078,196.96787511348495,2.1586152583068627,-153.02552399883837,-215.38293859275143,195.6755042464917,2.286257785874909
20260719_145127_668001,16,z_blue,305.0,179.0,-340.1055908203125,-140.1702270507812,197.5905303955078,-340.16947567570594,-140.70999409696788,197.6245723164269,0.5445994778528516,-340.6180749391017,-140.17140527629812,197.62873761659546,0.5139077270967429,-340.61627295525943,-140.01093633667932,197.74326611742384,0.5563254221247241,-340.4923570698956,-139.4153642534593,197.9858372419311,0.935774266277045
20260719_145127_668001,17,T,1127.0,489.0,-189.097457885742,249.008560180664,201.2066650390625,-188.5661033839231,249.55948602249964,201.66736451128477,0.8933649274016706,-189.4622359429349,249.3484008294637,201.66644541384227,0.6781981204771016,-189.17451816089653,249.25213266828294,201.5973587754604,0.4668055680819647,-189.2738028404925,249.11212292833096,201.49915060583518,0.3568901687363002
20260719_145127_668001,18,line,228.0,200.0,-331.004180908203,-176.5386352539062,196.69091796875,-330.6664593986534,-177.13782746167263,197.3212029758172,0.9329235284813946,-331.16330157265133,-177.5970612996369,197.3143511760242,1.238650089439217,-330.8959227067278,-177.71026572224574,197.0373746091757,1.2265683822042948,-330.8131168738385,-177.50275952407077,197.04574557905684,1.0449611029048296
20260719_145127_668001,19,L_blue,201.0,359.0,-255.1993713378906,-190.4439392089843,196.4239044189453,-255.08271335758013,-190.43190143982605,197.26545094866557,0.8496790887980231,-254.71808612350682,-190.92687639712628,197.25938636384603,1.0783755679400464,-254.67748430339807,-190.8758902338961,197.02684307345064,0.9069083668102527,-254.92631784321858,-190.724528835357,196.9155854821862,0.6285212942536403
20260719_145127_668001,20,L_blue,120.0,79.0,-388.9753112792968,-231.603042602539,196.173095703125,-388.8021030734933,-227.84681789962045,196.650558323536,3.790408375790532,-389.9691799290004,-229.10098988150907,196.63537954346884,2.7316202262979403,-389.34745941740994,-229.28110250129959,196.13945672883327,2.35181454435425,-389.79726725183224,-229.14664506215254,196.08735317051867,2.5916890784006203
20260719_145127_668001,21,T,1080.0,265.0,-295.3153381347656,227.475860595703,201.7438812255859,-295.44519314224084,227.6937319997036,201.2804405054627,0.528306324697981,-295.1734132914794,228.0767976469743,201.28620930720442,0.7685906489201292,-295.32368444448343,228.35049264418055,201.2665276851994,0.9964523489005613,-294.9590764161302,227.76664376068533,200.9824639217429,0.8895131093996191
20260719_145127_668001,22,square,1244.0,172.0,-337.7817993164062,304.8790893554687,202.5189666748047,-338.89286449421917,305.925224380913,202.09192926597768,1.584684596172881,-337.84831985725765,304.4308110481657,202.0818768698408,0.6296236342109136,-338.0403925346098,303.8136704108184,201.28398291657524,1.6514154120666098,-338.4174389666711,304.9251587261665,201.56513415339947,1.1471515291345071
20260719_145127_668001,23,L_yellow,978.0,281.0,-288.5165100097656,179.9159851074218,200.9425659179687,-288.337212113855,179.16072371617008,200.81867009470182,0.7860774005251763,-288.14726195229866,180.22524890171644,200.830550697526,0.4945054418461665,-288.4423847391808,180.70549957268528,200.952328682816,0.7930466305186844,-288.0276079557717,179.9295691345315,200.51557529886952,0.6492539818828043
