测量时间,运动类型,轮次,本轮序号,距离_mm,目标_X_mm,目标_Y_mm,目标_Z_mm,运动速度_%,加速度_%,控制器返回值,运动调用耗时_s,首次满足停稳条件总耗时_s,确认停稳总耗时_s,调用返回后等待_s,采样次数,最终位置误差_mm,最终姿态误差_deg,最终线速度_mm_s,最终姿态速度_deg_s
2026-08-12T13:30:10,MoveL,3,2,5.0,-337.4151306152343,-220.0,330.0,100.0,100.0,0,0.10716583799876389,0.2138724429987633,0.3296071659988229,0.21601470499990683,20,0.12529585609022717,0.01152801513671875,2.871513157657348,0.5231461103888192
2026-08-12T13:30:11,MoveL,3,3,10.0,-337.4151306152343,-215.0,330.0,100.0,100.0,0,0.14924809600051958,0.29194192700015265,0.3084822159999021,0.15325496299919905,15,0.23138513265537985,0.01827239990234375,2.424648469616197,0.1173749152841982
2026-08-12T13:30:11,MoveL,3,4,15.0,-337.4151306152343,-210.0,330.0,100.0,100.0,0,0.17840780899859965,0.3528072089975467,0.3696375919989805,0.18503010099993844,18,0.1141478843146823,0.0130462646484375,1.533777773130765,0.17091003057109228
2026-08-12T13:30:12,MoveL,3,5,20.0,-337.4151306152343,-205.0,330.0,100.0,100.0,0,0.2247058510001807,0.36135200599892414,0.37980011599938734,0.14831027199943492,15,0.13947058736636375,0.0126800537109375,2.52318045913211,0.4978863356389615
2026-08-12T13:30:13,MoveL,3,6,30.0,-337.4151306152343,-195.0,330.0,100.0,100.0,0,0.2979710489998979,0.42607376799969643,0.44257745199865894,0.1385625559996697,14,0.08562707782962743,0.00478363037109375,1.89335442399341,0.08087173634465918
2026-08-12T13:30:14,MoveL,3,7,40.0,-337.4151306152343,-185.0,330.0,100.0,100.0,0,0.33731458600050246,0.45246490399949835,0.47141575000023295,0.12750902799962205,12,0.08731254567875875,0.00739288330078125,2.760294697499097,0.11683743246056837
2026-08-12T13:30:15,MoveL,3,8,60.0,-337.4151306152343,-165.0,330.0,100.0,100.0,0,0.40248243199857825,0.524743503998252,0.5417560329988191,0.13348182800109498,13,0.1695568010527308,0.010223388671875,1.524956996889865,0.065612799549453
2026-08-12T13:30:16,MoveL,3,9,80.0,-337.4151306152343,-145.0,330.0,100.0,100.0,0,0.4514093440011493,0.5555240100002266,0.5731990940003016,0.11531813200053875,11,0.22276707869087492,0.02327728271484375,1.66506602245889,0.37457404351031726
2026-08-12T13:30:17,MoveL,3,10,100.0,-337.4151306152343,-125.0,330.0,100.0,100.0,0,0.5011407909987611,0.6134537319994706,0.628826594000202,0.12241793199973472,12,0.2834851234948738,0.01827239990234375,2.59221094211696,0.601349776417278
2026-08-12T13:30:18,MoveL,3,11,150.0,-337.4151306152343,-75.0,330.0,100.0,100.0,0,0.5938517070007947,0.7029758480020973,0.7201648640002531,0.12045540600047389,12,0.412859292282826,0.040679931640625,0.5790886354853045,0.2078970714949338
2026-08-12T13:30:20,MoveL,3,12,200.0,-337.4151306152343,-25.0,330.0,100.0,100.0,0,0.664257328999156,0.7841676129992265,0.8023735709994071,0.13176665699938894,13,0.4583768853761483,0.047210693359375,1.586969493851525,0.2043861558047421
2026-08-12T13:30:22,MoveL,3,13,250.0,-337.4151306152343,25.0,330.0,100.0,100.0,0,0.7207649940010015,0.8720260130012321,0.8877411209996353,0.16219378100140602,15,0.501133929149639,0.04742431640625,2.86615953285612,0.4788593808633019
2026-08-12T13:30:24,MoveL,3,14,300.0,-337.4151306152343,75.0,330.0,100.0,100.0,0,0.7848644810001133,0.9396654140000464,0.9575163099998463,0.16649182899891457,16,0.5835648454280234,0.05525970458984375,2.485973321601437,0.3746084632942577
2026-08-12T13:30:26,MoveL,3,15,350.0,-337.4151306152343,125.0,330.0,100.0,100.0,0,0.8440214689999266,1.0112414369996259,1.0303325780005252,0.17928351200134784,17,0.6332431644668743,0.0532989501953125,2.173535635773693,0.37071209137844274
2026-08-12T13:30:28,MoveL,3,16,400.0,-337.4151306152343,175.0,330.0,100.0,100.0,0,0.9061522289994173,1.0778462729995226,1.0955500789987127,0.18309319999934814,17,0.7103456900235219,0.0548248291015625,1.962029306075547,0.3500427778763556
2026-08-12T13:30:30,MoveL,3,17,450.0,-337.4151306152343,225.0,330.0,100.0,100.0,0,0.9813679210001283,1.1306268879998242,1.1491393060005066,0.16149856700030796,15,0.7042741134199786,0.04872894287109375,1.912074224131417,0.2834950825635223
